log start...
00:00:24.380..[local]..get hq running..cli_thread_getlastPrice-1111
00:00:24.948..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:25.451..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:25.961..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:26.471..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:26.981..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:27.501..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:28.019..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:28.529..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:29.039..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:29.559..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:30.071..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:30.581..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:31.091..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:31.611..[local]..get hq running..cli_thread_getlastPrice-p-85900
00:00:32.134..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:32.651..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:33.161..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:33.671..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:34.181..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:34.691..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:35.201..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:35.711..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:36.221..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:36.731..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:37.241..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:37.751..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:38.261..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:38.771..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:39.285..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:39.795..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:40.305..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:40.815..[local]..get hq running..cli_thread_getlastPrice-p-86000
00:00:41.330..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:41.848..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:42.370..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:42.888..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:43.398..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:43.908..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:44.418..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:44.928..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:45.438..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:45.948..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:46.458..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:46.968..[local]..get hq running..cli_thread_getlastPrice-p-86100
00:00:47.478..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:47.988..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:48.498..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:49.008..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:49.527..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:50.037..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:50.587..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:51.197..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:51.797..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:52.424..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:55.719..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:56.329..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:56.949..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:57.559..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:58.189..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:58.809..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:00:59.419..[local]..get hq running..cli_thread_getlastPrice-p-86200
00:01:00.029..[local]..get hq running..cli_thread_getlastPrice-p-86200
log start...
00:04:14.905..[local]..get hq running..cli_thread_getlastPrice-1111
00:04:15.445..[local]..get hq running..cli_thread_getlastPrice-p-85400
00:04:15.953..[local]..get hq running..cli_thread_getlastPrice-p-85400
00:04:16.463..[local]..get hq running..cli_thread_getlastPrice-p-85400
00:04:16.973..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:17.483..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:17.993..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:18.493..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:19.003..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:19.513..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:20.023..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:20.538..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:21.063..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:21.583..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:22.102..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:22.620..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:23.137..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:23.647..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:24.157..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:24.667..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:25.167..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:25.688..[local]..get hq running..cli_thread_getlastPrice-p-85500
00:04:26.198..[local]..get hq running..cli_thread_getlastPrice-p-85600
log start...
09:39:56.037..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:56.621..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:57.134..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:57.650..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:58.168..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:58.706..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:59.230..[local]..get hq running..cli_thread_getlastPrice-1111
09:39:59.745..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:00.262..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:00.792..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:01.309..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:01.823..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:02.340..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:02.896..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:03.448..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:03.967..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:04.546..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:05.064..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:05.615..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:06.151..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:06.665..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:07.181..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:07.699..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:08.215..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:08.747..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:09.263..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:09.778..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:10.294..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:10.807..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:11.323..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:11.838..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:12.350..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:12.863..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:13.379..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:13.905..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:14.418..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:14.934..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:15.448..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:15.959..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:16.475..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:16.990..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:17.507..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:18.024..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:18.540..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:19.058..[local]..get hq running..cli_thread_getlastPrice-1111
09:40:19.576..[local]..get hq running..cli_thread_getlastPrice-1111
