ºÏÔ¼ºÅ,³É½»±àºÅ,ÂòÂô,³É½»¼Û,ÊÖÊý
IO1506-C-5300,610881,  Âô,95.2,2
IO1506-C-5300,610261,  Âô,95.4,1
IO1506-C-5300,610308,  Âô,95.4,4
IO1506-C-5300,610420,  Âô,95.4,3
IO1506-C-5300,613331,  Âô,95.4,2
IO1506-C-5300,613362,  Âô,95.4,4
IO1506-C-5300,613372,  Âô,95.4,1
IO1506-C-5300,613951,  Âô,95.4,2
IO1506-C-5300,610405,  Âô,95.6,2
IO1506-C-5300,613584,  Âô,95.8,1
IO1506-C-5300,851775,  Âô,96.2,1
IO1506-C-5300,853559,  Âô,97.6,1
IO1506-P-5250,438313,  Âô,97.8,10
IO1506-P-5250,438202,  Âô,98,1
IO1506-C-5300,872335,  Âô,98.4,1
IO1506-P-5250,437870,  Âô,98.4,1
IO1506-P-5250,437885,  Âô,98.4,9
IO1506-P-5250,437916,  Âô,98.4,9
IO1506-C-5300,871176,  Âô,98.6,1
IO1506-C-5300,873465,  Âô,98.8,1
IO1506-P-5250,788229,  Âô,98.8,1
IO1506-P-5300,354404,  Âô,99.2,10
IO1506-C-5300,846146,  Âô,99.4,1
IO1506-P-5200,562206,Âò,100.8,1
IO1506-P-5200,562265,Âò,100.8,1
IO1506-P-5200,562732,Âò,100.8,1
IO1506-P-5250,796364,  Âô,100.8,1
IO1506-C-5300,858182,  Âô,101,1
IO1506-P-5200,562384,Âò,101,1
IO1506-P-5200,562395,Âò,101,1
IO1506-P-5200,562433,Âò,101,1
IO1506-P-5200,562446,Âò,101,1
IO1506-P-5250,794076,  Âô,101,1
IO1506-P-5200,562524,Âò,101.2,3
IO1506-P-5200,563729,Âò,101.2,1
IO1506-P-5200,563730,Âò,101.2,1
IO1506-P-5200,563746,Âò,101.2,2
IO1506-P-5200,563749,Âò,101.2,1
IO1506-P-5200,563858,Âò,101.2,1
IO1506-P-5200,563859,Âò,101.2,1
IO1506-P-5200,563873,Âò,101.2,1
IO1506-P-5200,563939,Âò,101.2,1
IO1506-P-5200,563963,Âò,101.2,1
IO1506-P-5200,563997,Âò,101.2,1
IO1506-P-5200,564077,Âò,101.2,1
IO1506-P-5200,564167,Âò,101.4,1
IO1506-P-5250,791952,  Âô,101.4,1
IO1506-P-5250,793927,  Âô,101.4,1
IO1506-P-5200,564201,Âò,101.6,1
IO1506-P-5200,564227,Âò,101.6,4
IO1506-P-5250,793228,  Âô,101.6,1
IO1506-P-5250,797002,  Âô,101.6,1
IO1506-C-5300,858689,  Âô,102,1
IO1506-C-5300,858932,  Âô,102,1
IO1506-P-5250,798074,  Âô,102,1
IO1506-P-5250,799157,  Âô,102,1
IO1506-C-5300,858781,  Âô,102.2,1
IO1506-C-5250,564228,  Âô,102.4,1
IO1506-C-5250,564331,  Âô,102.4,1
IO1506-C-5250,564421,  Âô,102.4,3
IO1506-C-5250,563339,  Âô,102.6,1
IO1506-C-5250,563380,  Âô,102.6,4
IO1506-P-5250,771585,  Âô,102.6,1
IO1506-C-5250,562348,  Âô,103,5
IO1506-C-5300,859037,  Âô,103,1
IO1506-C-5250,563106,  Âô,103.2,5
